product_id,sku,name,brand,variant,category,origin,weight_kg,price_eur,in_stock,rating,num_reviews,is_food,calories_per_100g,protein_g_per_100g,sugar_g_per_100g,fat_g_per_100g,carbs_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g
1948,SKU-001948,BrewMasters Orange Juice Natural,BrewMasters,Natural,Beverages,Netherlands,0.95,9.22,Yes,4.7,1266,Yes,63.2,3.7,7.4,0.6,8.0,1.4,648.0
1949,SKU-001949,NaturBeauty Serum Organic,NaturBeauty,Organic,Personal Care & Beauty,USA,0.68,27.07,Yes,2.8,656,No,,,,,,,
1950,SKU-001950,WriteRight Ballpoint Pen Gluten Free,WriteRight,Gluten Free,Stationery & Office,Australia,0.26,19.67,Yes,2.8,4285,No,,,,,,,
1951,SKU-001951,FreshBaked Baguette High Protein,FreshBaked,High Protein,Bakery & Bread,Japan,0.95,3.22,Yes,4.6,4755,Yes,405.9,8.0,19.8,5.8,27.6,2.1,1076.0
1952,SKU-001952,OfficeElite Desk Organizer Value Pack,OfficeElite,Value Pack,Stationery & Office,Spain,0.02,3.86,Yes,2.8,3570,No,,,,,,,
1953,SKU-001953,VoltEdge USB Cable Multipack,VoltEdge,Multipack,Electronics & Batteries,Netherlands,0.25,27.26,Yes,3.8,528,No,,,,,,,
1954,SKU-001954,DairyPure Cottage Cheese Multipack,DairyPure,Multipack,Dairy & Eggs,Peru,1.82,7.56,Yes,4.9,2208,Yes,316.4,8.8,2.3,15.8,22.2,1.5,944.0
1955,SKU-001955,OrganicGrove Blueberry Reduced Sugar,OrganicGrove,Reduced Sugar,Fruits & Vegetables,Greece,3.72,7.98,Yes,4.9,4781,Yes,40.2,3.4,8.7,1.1,1.3,1.1,442.0
1956,SKU-001956,RadiantSelf Aftershave Premium,RadiantSelf,Premium,Personal Care & Beauty,India,0.28,33.4,No,3.3,4375,No,,,,,,,
1957,SKU-001957,TreatStreet Popcorn Mini,TreatStreet,Mini,Snacks & Confectionery,Brazil,0.21,1.27,Yes,4.3,991,Yes,501.2,17.5,48.9,33.9,1.9,0.0,294.0
1958,SKU-001958,HomePure Storage Containers Sugar Free,HomePure,Sugar Free,Household & Cleaning,Australia,0.86,3.42,Yes,3.6,4801,No,,,,,,,
1959,SKU-001959,VitalCare Hand Sanitizer Light,VitalCare,Light,Health & Pharmacy,Brazil,0.08,67.09,Yes,3.7,4160,No,,,,,,,
1960,SKU-001960,OfficeElite Staples Original,OfficeElite,Original,Stationery & Office,Thailand,0.13,12.82,Yes,3.4,4208,No,,,,,,,
1961,SKU-001961,MunchCo Trail Mix Economy,MunchCo,Economy,Snacks & Confectionery,Brazil,0.93,3.96,No,2.8,3968,Yes,473.9,15.8,64.4,40.9,5.4,1.3,374.0
1962,SKU-001962,CleanSweep Rubber Gloves Economy,CleanSweep,Economy,Household & Cleaning,Poland,4.47,4.05,Yes,4.5,4677,No,,,,,,,
1963,SKU-001963,NaturalPantry Rice (Jasmine) Family Pack,NaturalPantry,Family Pack,Pantry & Dry Goods,Colombia,1.8,20.51,Yes,4.6,958,Yes,706.1,24.2,36.1,2.6,66.8,6.5,1170.0
1964,SKU-001964,HomeCook Penne Gluten Free,HomeCook,Gluten Free,Pantry & Dry Goods,Brazil,2.22,27.75,Yes,4.3,3726,Yes,839.9,19.5,34.3,58.8,17.0,8.1,802.0
1965,SKU-001965,EssentialCare Hand Cream Organic,EssentialCare,Organic,Personal Care & Beauty,Netherlands,0.73,19.03,Yes,3.3,662,No,,,,,,,
1966,SKU-001966,NutraNat Vitamin C Multipack,NutraNat,Multipack,Health & Pharmacy,Peru,0.92,36.92,No,4.0,4689,No,,,,,,,
1967,SKU-001967,PharmaPlus Multivitamin Value Pack,PharmaPlus,Value Pack,Health & Pharmacy,Germany,0.77,79.14,Yes,3.1,3798,No,,,,,,,
1968,SKU-001968,ArtisanLoaf Tortilla Wrap Gluten Free,ArtisanLoaf,Gluten Free,Bakery & Bread,Thailand,0.97,11.39,Yes,4.7,119,Yes,221.7,9.7,13.2,13.0,3.5,1.4,973.0
1969,SKU-001969,PantryPro Maple Syrup Light,PantryPro,Light,Pantry & Dry Goods,Colombia,2.4,37.82,No,4.4,3598,Yes,751.4,23.1,42.9,8.1,76.9,5.0,116.0
1970,SKU-001970,ChillFoods Frozen Spinach Organic,ChillFoods,Organic,Frozen Foods,USA,2.39,13.14,Yes,4.8,1247,Yes,97.9,5.4,13.1,3.1,6.1,3.5,581.0
1971,SKU-001971,OrganicGrove Papaya Sugar Free,OrganicGrove,Sugar Free,Fruits & Vegetables,Australia,4.44,6.23,Yes,3.7,4605,Yes,47.3,1.6,6.8,1.2,4.3,2.1,665.0
1972,SKU-001972,SweetBite Fruit Roll-Up Gluten Free,SweetBite,Gluten Free,Snacks & Confectionery,Peru,0.7,10.99,Yes,3.9,4683,Yes,381.0,9.8,33.6,9.0,1.6,0.6,999.0
1973,SKU-001973,NutraNat Paracetamol Mini,NutraNat,Mini,Health & Pharmacy,Greece,0.59,76.19,Yes,3.0,3080,No,,,,,,,
1974,SKU-001974,FreshBaked Tortilla Wrap Mini,FreshBaked,Mini,Bakery & Bread,Japan,0.83,7.02,Yes,4.1,1960,Yes,304.5,8.1,22.8,3.4,9.0,2.2,124.0
1975,SKU-001975,DeskMate Tape Mini,DeskMate,Mini,Stationery & Office,Spain,1.16,24.4,Yes,4.0,739,No,,,,,,,
1976,SKU-001976,GreenLeaf Blackberry Low Fat,GreenLeaf,Low Fat,Fruits & Vegetables,Spain,1.06,0.72,Yes,2.8,4929,Yes,64.5,2.6,7.8,1.4,0.4,0.1,12.0
1977,SKU-001977,PharmaPlus Paracetamol Mini,PharmaPlus,Mini,Health & Pharmacy,USA,0.83,56.6,Yes,2.5,4506,No,,,,,,,
1978,SKU-001978,MunchCo Dates Economy,MunchCo,Economy,Snacks & Confectionery,Canada,0.71,16.59,Yes,3.2,1505,Yes,493.4,8.0,18.4,41.3,17.1,5.9,908.0
1979,SKU-001979,EssentialCare Toothpaste Organic,EssentialCare,Organic,Personal Care & Beauty,Greece,0.79,17.0,Yes,2.7,3468,No,,,,,,,
1980,SKU-001980,BabyBliss Sippy Cup Spicy,BabyBliss,Spicy,Baby & Toddler,India,2.79,5.31,No,3.0,3886,No,,,,,,,
1981,SKU-001981,GreenLeaf Garlic Spicy,GreenLeaf,Spicy,Fruits & Vegetables,Germany,4.91,12.12,Yes,4.3,2779,Yes,79.2,2.3,6.2,1.1,5.9,0.4,787.0
1982,SKU-001982,HealthPlus Thermometer Sugar Free,HealthPlus,Sugar Free,Health & Pharmacy,Japan,0.59,64.87,Yes,2.6,3270,No,,,,,,,
1983,SKU-001983,PureTouch Toothbrush Value Pack,PureTouch,Value Pack,Personal Care & Beauty,USA,0.13,29.96,Yes,2.8,2381,No,,,,,,,
1984,SKU-001984,QuickFreeze Frozen Salmon High Protein,QuickFreeze,High Protein,Frozen Foods,Brazil,1.7,7.79,Yes,3.2,2104,Yes,56.2,13.8,7.8,9.5,2.6,1.7,1182.0
1985,SKU-001985,KitchenEssentials Ketchup Reduced Sugar,KitchenEssentials,Reduced Sugar,Pantry & Dry Goods,UK,4.96,18.62,Yes,3.8,1430,Yes,606.1,9.3,60.7,54.4,5.9,0.7,155.0
1986,SKU-001986,HealthPlus Vitamin D Economy,HealthPlus,Economy,Health & Pharmacy,India,0.95,7.33,Yes,3.4,2811,No,,,,,,,
1987,SKU-001987,KitchenEssentials Lentils Extra Large,KitchenEssentials,Extra Large,Pantry & Dry Goods,Italy,1.66,11.27,Yes,3.8,228,Yes,610.3,21.1,14.1,57.2,2.0,2.0,386.0
1988,SKU-001988,FreshFarm Carrot Natural,FreshFarm,Natural,Fruits & Vegetables,Thailand,4.03,18.33,Yes,3.5,2199,Yes,84.1,3.7,9.6,0.6,1.5,0.6,240.0
1989,SKU-001989,ScribblePro Glue Stick Organic,ScribblePro,Organic,Stationery & Office,Italy,0.82,12.85,No,2.9,3125,No,,,,,,,
1990,SKU-001990,FreshHome Mop Classic,FreshHome,Classic,Household & Cleaning,Germany,4.42,1.3,Yes,3.2,4989,No,,,,,,,
1991,SKU-001991,FreshMeadow Camembert Economy,FreshMeadow,Economy,Dairy & Eggs,Peru,0.77,6.69,Yes,2.9,505,Yes,345.4,16.6,3.8,21.7,17.0,7.5,543.0
1992,SKU-001992,OceanFresh Lamb Rack Original,OceanFresh,Original,Meat & Seafood,Mexico,0.96,40.05,Yes,4.8,134,Yes,258.5,15.7,0.5,12.5,19.7,8.0,971.0
1993,SKU-001993,SweetBite Wafers Vegan,SweetBite,Vegan,Snacks & Confectionery,Colombia,0.13,1.46,Yes,3.2,4326,Yes,453.8,2.3,58.9,45.5,1.5,0.6,975.0
1994,SKU-001994,PureTouch Foot Cream Extra Large,PureTouch,Extra Large,Personal Care & Beauty,India,0.54,3.19,Yes,4.2,1609,No,,,,,,,
1995,SKU-001995,GoldenCrust Ciabatta Mini,GoldenCrust,Mini,Bakery & Bread,Peru,1.3,9.76,No,3.5,2537,Yes,319.6,6.2,22.6,7.7,51.0,6.5,360.0
1996,SKU-001996,NaturalPantry Flour (Whole Wheat) Classic,NaturalPantry,Classic,Pantry & Dry Goods,Australia,4.39,40.46,Yes,4.0,1326,Yes,263.1,11.9,19.7,79.0,1.5,1.3,160.0
1997,SKU-001997,WheatWorks Danish Pastry Value Pack,WheatWorks,Value Pack,Bakery & Bread,Germany,0.94,8.49,Yes,4.6,4969,Yes,278.9,9.7,3.6,4.1,40.2,2.7,1020.0
1998,SKU-001998,NutraNat B12 Supplement Light,NutraNat,Light,Health & Pharmacy,Greece,0.73,55.71,Yes,3.6,3037,No,,,,,,,
1999,SKU-001999,KitchenEssentials Chili Flakes Original,KitchenEssentials,Original,Pantry & Dry Goods,Peru,1.19,16.62,Yes,3.1,2090,Yes,752.6,0.5,62.8,92.0,0.4,0.3,765.0
2000,SKU-002000,FrostBite Frozen Dumplings Original,FrostBite,Original,Frozen Foods,Colombia,1.25,3.89,Yes,4.5,2840,Yes,63.6,13.8,11.7,14.7,2.0,0.4,93.0
2001,SKU-002001,SeaSelect Chicken Thigh Spicy,SeaSelect,Spicy,Meat & Seafood,India,2.34,88.81,Yes,3.6,4819,Yes,167.5,28.8,0.4,3.4,4.7,4.6,523.0
2002,SKU-002002,MunchCo Rice Cakes Vegan,MunchCo,Vegan,Snacks & Confectionery,Peru,0.75,14.09,Yes,4.9,2165,Yes,321.9,2.2,21.7,17.3,14.9,5.5,634.0
2003,SKU-002003,BakeryCraft Pretzel Light,BakeryCraft,Light,Bakery & Bread,New Zealand,1.27,11.8,Yes,4.2,3852,Yes,220.3,7.2,18.0,19.1,2.4,0.1,331.0
2004,SKU-002004,MeadowMeats Shrimp Gluten Free,MeadowMeats,Gluten Free,Meat & Seafood,South Africa,1.95,58.62,Yes,3.4,3381,Yes,174.7,21.8,0.0,21.8,2.2,1.8,502.0
2005,SKU-002005,SnackHouse Dates Light,SnackHouse,Light,Snacks & Confectionery,Brazil,0.32,9.45,Yes,2.9,1277,Yes,566.9,7.9,46.8,46.3,9.3,1.7,709.0
2006,SKU-002006,ElectroBase Memory Card Organic,ElectroBase,Organic,Electronics & Batteries,Thailand,0.71,2.37,Yes,3.0,602,No,,,,,,,
2007,SKU-002007,VerdantVale Cheddar Cheese Classic,VerdantVale,Classic,Dairy & Eggs,New Zealand,1.12,4.02,Yes,3.2,4818,Yes,325.4,9.6,3.3,28.0,4.6,2.8,469.0
2008,SKU-002008,SunHarvest Turnip Family Pack,SunHarvest,Family Pack,Fruits & Vegetables,USA,3.85,7.9,Yes,4.2,1102,Yes,22.5,1.5,12.2,1.1,1.0,0.1,405.0
2009,SKU-002009,SweetBite Walnuts Mini,SweetBite,Mini,Snacks & Confectionery,USA,0.68,8.1,No,4.5,1793,Yes,330.1,13.4,60.2,51.6,2.6,0.8,327.0
2010,SKU-002010,CreamyFarm Almond Milk Classic,CreamyFarm,Classic,Dairy & Eggs,Brazil,1.84,17.41,Yes,4.3,3563,Yes,128.9,9.6,2.6,26.6,1.2,1.1,756.0
2011,SKU-002011,RefreshCo Green Tea Sugar Free,RefreshCo,Sugar Free,Beverages,Brazil,0.48,4.19,Yes,2.6,3657,Yes,67.4,1.4,7.9,1.4,2.7,0.3,157.0
2012,SKU-002012,CrunchTime Peanuts Low Fat,CrunchTime,Low Fat,Snacks & Confectionery,Colombia,0.32,8.42,Yes,4.1,3040,Yes,443.4,6.1,18.4,31.9,3.6,2.7,433.0
2013,SKU-002013,MeadowMeats Veal Cutlet Multipack,MeadowMeats,Multipack,Meat & Seafood,Brazil,2.72,100.81,Yes,4.3,4018,Yes,124.9,29.4,0.8,9.6,4.9,3.3,289.0
2014,SKU-002014,SnackHouse Jelly Beans Gluten Free,SnackHouse,Gluten Free,Snacks & Confectionery,Netherlands,0.88,21.85,Yes,4.4,427,Yes,347.0,17.8,57.4,41.0,3.5,1.5,659.0
2015,SKU-002015,CreamyFarm Whole Milk Sugar Free,CreamyFarm,Sugar Free,Dairy & Eggs,Thailand,1.24,19.82,Yes,3.4,3348,Yes,93.2,22.5,2.5,28.9,3.5,0.9,189.0
2016,SKU-002016,ScribblePro Markers Classic,ScribblePro,Classic,Stationery & Office,Japan,1.97,7.05,No,4.8,883,No,,,,,,,
2017,SKU-002017,PetPerfect Hamster Food Original,PetPerfect,Original,Pet Supplies,Canada,0.75,25.35,Yes,3.3,1457,No,,,,,,,
2018,SKU-002018,WellLife B12 Supplement Light,WellLife,Light,Health & Pharmacy,Canada,0.83,11.0,Yes,4.1,348,No,,,,,,,
2019,SKU-002019,EssentialCare Aftershave Low Fat,EssentialCare,Low Fat,Personal Care & Beauty,France,0.71,19.15,Yes,2.8,4628,No,,,,,,,
2020,SKU-002020,CleanSweep Floor Cleaner High Protein,CleanSweep,High Protein,Household & Cleaning,Netherlands,4.78,9.59,Yes,3.3,2223,No,,,,,,,
2021,SKU-002021,OfficeElite Pencil Low Fat,OfficeElite,Low Fat,Stationery & Office,Mexico,0.11,2.96,Yes,3.8,2726,No,,,,,,,
2022,SKU-002022,VerdantVale Skim Milk Low Fat,VerdantVale,Low Fat,Dairy & Eggs,Poland,1.85,19.73,Yes,2.9,2467,Yes,209.0,23.6,4.9,8.8,5.3,4.2,199.0
2023,SKU-002023,IceCraft Frozen Pancakes Spicy,IceCraft,Spicy,Frozen Foods,Germany,0.99,13.2,Yes,3.2,1637,Yes,200.4,2.1,12.5,10.9,8.0,2.7,245.0
2024,SKU-002024,TechReady Webcam Classic,TechReady,Classic,Electronics & Batteries,Germany,0.3,59.47,Yes,3.1,3505,No,,,,,,,
2025,SKU-002025,FreshFarm Bell Pepper Family Pack,FreshFarm,Family Pack,Fruits & Vegetables,Netherlands,4.64,5.45,Yes,4.5,3389,Yes,25.6,1.4,3.9,0.2,3.8,3.5,250.0
2026,SKU-002026,HomePure Dishwasher Tablets Deluxe,HomePure,Deluxe,Household & Cleaning,Mexico,4.55,10.8,Yes,3.0,1112,No,,,,,,,
2027,SKU-002027,SunHarvest Pear Natural,SunHarvest,Natural,Fruits & Vegetables,Poland,0.36,1.87,Yes,4.4,3994,Yes,25.3,1.2,7.0,0.9,2.8,1.3,380.0
2028,SKU-002028,WriteRight Ruler Low Fat,WriteRight,Low Fat,Stationery & Office,Greece,0.41,17.91,Yes,2.5,757,No,,,,,,,
2029,SKU-002029,PetPerfect Wet Cat Food Mini,PetPerfect,Mini,Pet Supplies,Greece,5.86,43.92,Yes,2.6,2280,No,,,,,,,
2030,SKU-002030,PureSip Lemonade Spicy,PureSip,Spicy,Beverages,Thailand,0.7,4.77,Yes,4.3,3515,Yes,29.1,4.5,11.9,0.6,1.2,0.6,430.0
2031,SKU-002031,PureTouch Serum Value Pack,PureTouch,Value Pack,Personal Care & Beauty,Canada,0.3,3.02,Yes,2.7,4078,No,,,,,,,
2032,SKU-002032,KitchenEssentials Curry Powder High Protein,KitchenEssentials,High Protein,Pantry & Dry Goods,Poland,2.78,26.49,Yes,3.6,935,Yes,125.1,11.8,6.4,84.4,0.6,0.5,796.0
2033,SKU-002033,KitchenEssentials Rigatoni Premium,KitchenEssentials,Premium,Pantry & Dry Goods,India,3.32,70.91,Yes,3.5,2049,Yes,376.9,18.0,46.8,90.3,3.5,2.1,460.0
2034,SKU-002034,BakeryCraft Pumpernickel Sugar Free,BakeryCraft,Sugar Free,Bakery & Bread,Colombia,0.55,1.94,Yes,3.5,1869,Yes,278.7,8.2,20.2,18.7,2.1,0.9,661.0
2035,SKU-002035,HomeCook Curry Powder Low Fat,HomeCook,Low Fat,Pantry & Dry Goods,Germany,4.78,105.05,Yes,2.8,4572,Yes,208.5,3.7,72.0,78.8,2.5,1.4,161.0
2036,SKU-002036,GlobalTable Penne Light,GlobalTable,Light,Pantry & Dry Goods,Germany,0.91,15.87,Yes,2.9,1931,Yes,698.9,1.4,2.2,19.1,58.3,9.4,206.0
2037,SKU-002037,HappyPaws Pet Brush Light,HappyPaws,Light,Pet Supplies,Japan,1.44,24.55,Yes,3.6,3154,No,,,,,,,
2038,SKU-002038,RadiantSelf Serum Original,RadiantSelf,Original,Personal Care & Beauty,UK,0.47,15.6,Yes,4.2,2326,No,,,,,,,
2039,SKU-002039,GlowCare Bar Soap Gluten Free,GlowCare,Gluten Free,Personal Care & Beauty,Canada,0.08,7.36,Yes,3.7,4461,No,,,,,,,
2040,SKU-002040,BabyBliss Baby Teething Biscuits Light,BabyBliss,Light,Baby & Toddler,South Africa,1.49,10.31,Yes,3.6,2878,No,,,,,,,
2041,SKU-002041,FarmGate Lamb Rack Multipack,FarmGate,Multipack,Meat & Seafood,USA,0.25,2.06,Yes,4.0,958,Yes,179.9,23.1,0.1,15.9,0.1,0.0,870.0
2042,SKU-002042,EssentialCare Conditioner Mini,EssentialCare,Mini,Personal Care & Beauty,Italy,0.19,12.18,Yes,3.6,1918,No,,,,,,,
2043,SKU-002043,VoltEdge Surge Protector Original,VoltEdge,Original,Electronics & Batteries,Japan,0.82,51.93,Yes,3.3,3559,No,,,,,,,
2044,SKU-002044,PantryPro Kidney Beans Premium,PantryPro,Premium,Pantry & Dry Goods,Australia,0.91,17.74,No,3.6,914,Yes,746.9,24.3,66.9,3.2,3.8,2.5,817.0
2045,SKU-002045,WriteRight Spiral Notepad Original,WriteRight,Original,Stationery & Office,Spain,0.24,4.2,Yes,4.6,759,No,,,,,,,
2046,SKU-002046,HappyPaws Wet Cat Food Original,HappyPaws,Original,Pet Supplies,UK,6.22,21.4,Yes,4.2,2463,No,,,,,,,
2047,SKU-002047,WriteRight Binder Family Pack,WriteRight,Family Pack,Stationery & Office,Brazil,0.16,5.42,Yes,2.7,625,No,,,,,,,
2048,SKU-002048,KitchenEssentials Vegetable Broth Premium,KitchenEssentials,Premium,Pantry & Dry Goods,Thailand,4.35,64.1,Yes,4.0,1115,Yes,532.9,24.0,0.9,31.5,0.9,0.7,1096.0
2049,SKU-002049,QuickFreeze Frozen Lasagna Spicy,QuickFreeze,Spicy,Frozen Foods,Peru,0.72,8.36,No,3.8,472,Yes,228.2,2.0,8.8,14.3,2.0,1.1,158.0
2050,SKU-002050,OfficeElite Spiral Notepad Multipack,OfficeElite,Multipack,Stationery & Office,Colombia,0.46,13.18,Yes,5.0,3340,No,,,,,,,
2051,SKU-002051,HomeCook Salt Value Pack,HomeCook,Value Pack,Pantry & Dry Goods,Brazil,0.6,9.71,Yes,3.8,2800,Yes,894.8,19.1,23.5,46.1,90.3,9.2,555.0
2052,SKU-002052,OrganicGrove Plum High Protein,OrganicGrove,High Protein,Fruits & Vegetables,Peru,1.53,5.95,No,4.3,2820,Yes,48.5,1.2,13.3,0.5,7.8,5.3,1102.0
2053,SKU-002053,FlowDrink Almond Milk Latte Deluxe,FlowDrink,Deluxe,Beverages,Spain,1.19,3.2,Yes,2.8,2351,Yes,49.6,2.5,8.6,1.2,5.9,3.3,955.0
2054,SKU-002054,TenderCare Baby Powder Deluxe,TenderCare,Deluxe,Baby & Toddler,Germany,2.26,28.51,Yes,3.3,1750,No,,,,,,,
2055,SKU-002055,GoldenCrust Sourdough Bread Deluxe,GoldenCrust,Deluxe,Bakery & Bread,Thailand,0.55,2.3,Yes,3.5,4113,Yes,289.1,7.9,18.5,14.5,21.2,2.0,151.0
2056,SKU-002056,NaturalPantry Sugar Extra Large,NaturalPantry,Extra Large,Pantry & Dry Goods,New Zealand,0.82,10.82,Yes,4.9,1645,Yes,210.1,12.8,72.6,98.7,2.0,0.9,952.0
2057,SKU-002057,PureBaby Diapers (L) Spicy,PureBaby,Spicy,Baby & Toddler,New Zealand,1.92,27.82,Yes,3.0,540,No,,,,,,,
2058,SKU-002058,CrunchTime Milk Chocolate Extra Large,CrunchTime,Extra Large,Snacks & Confectionery,Canada,0.75,5.53,Yes,3.0,2488,Yes,396.5,1.3,42.0,52.9,4.8,2.0,1022.0
2059,SKU-002059,GlobalTable Oregano Natural,GlobalTable,Natural,Pantry & Dry Goods,Japan,4.71,40.85,Yes,4.7,4543,Yes,278.0,6.5,60.2,90.3,4.9,4.4,25.0
2060,SKU-002060,NaturePick Mango Family Pack,NaturePick,Family Pack,Fruits & Vegetables,Canada,2.77,16.28,Yes,4.0,174,Yes,41.9,1.9,4.1,0.3,6.7,3.0,795.0
2061,SKU-002061,FrozenFresh Frozen Pancakes Organic,FrozenFresh,Organic,Frozen Foods,Canada,2.29,11.99,Yes,4.6,3480,Yes,291.5,2.7,17.9,11.2,13.2,2.4,589.0
2062,SKU-002062,PetPerfect Cat Litter Deluxe,PetPerfect,Deluxe,Pet Supplies,Italy,2.45,48.39,Yes,4.0,3075,No,,,,,,,
2063,SKU-002063,NaturBeauty Sunscreen SPF30 Light,NaturBeauty,Light,Personal Care & Beauty,Australia,0.47,24.38,Yes,4.3,4686,No,,,,,,,
2064,SKU-002064,NaturBeauty Foot Cream Gluten Free,NaturBeauty,Gluten Free,Personal Care & Beauty,Colombia,0.09,8.08,Yes,2.9,1398,No,,,,,,,
2065,SKU-002065,WheatWorks Cornbread Original,WheatWorks,Original,Bakery & Bread,Mexico,0.14,1.42,Yes,4.0,3187,Yes,395.6,7.2,18.9,4.2,52.2,8.6,314.0
2066,SKU-002066,CrunchTime Wafers Organic,CrunchTime,Organic,Snacks & Confectionery,South Africa,0.14,1.92,Yes,4.8,578,Yes,541.7,11.6,22.9,40.1,31.7,1.1,8.0
2067,SKU-002067,FrozenFresh Frozen Broccoli Deluxe,FrozenFresh,Deluxe,Frozen Foods,Netherlands,1.81,25.9,Yes,4.7,492,Yes,177.6,13.0,16.6,16.6,3.0,2.0,157.0
2068,SKU-002068,CrunchTime Fruit Roll-Up High Protein,CrunchTime,High Protein,Snacks & Confectionery,Thailand,0.22,5.69,Yes,3.3,3415,Yes,431.0,18.6,38.4,16.3,35.5,7.5,495.0
2069,SKU-002069,EcoClean Laundry Detergent Mini,EcoClean,Mini,Household & Cleaning,Colombia,3.43,18.26,Yes,4.8,4864,No,,,,,,,
2070,SKU-002070,WriteRight Ballpoint Pen Economy,WriteRight,Economy,Stationery & Office,Spain,1.74,8.83,No,3.2,273,No,,,,,,,
2071,SKU-002071,MeadowMeats Venison Steak Organic,MeadowMeats,Organic,Meat & Seafood,Colombia,1.96,69.88,Yes,3.0,2457,Yes,187.2,25.4,1.0,20.5,4.4,4.3,330.0
2072,SKU-002072,TailWag Pet Brush Reduced Sugar,TailWag,Reduced Sugar,Pet Supplies,South Africa,8.38,47.72,Yes,2.8,1679,No,,,,,,,
2073,SKU-002073,NaturePet Cat Toy Family Pack,NaturePet,Family Pack,Pet Supplies,New Zealand,8.86,19.74,Yes,2.5,49,No,,,,,,,
2074,SKU-002074,NaturePick Artichoke Light,NaturePick,Light,Fruits & Vegetables,USA,0.21,0.78,Yes,4.0,2209,Yes,72.2,1.1,14.5,0.6,8.5,0.1,192.0
2075,SKU-002075,TenderCare Diapers (L) Natural,TenderCare,Natural,Baby & Toddler,South Africa,2.6,21.52,No,4.0,3864,No,,,,,,,
2076,SKU-002076,NaturalPantry Honey Gluten Free,NaturalPantry,Gluten Free,Pantry & Dry Goods,Australia,0.4,8.11,Yes,2.9,2256,Yes,586.8,1.6,66.2,98.2,3.4,2.0,721.0
2077,SKU-002077,OrganicGrove Carrot Reduced Sugar,OrganicGrove,Reduced Sugar,Fruits & Vegetables,Poland,3.71,7.08,No,4.0,372,Yes,22.1,0.7,6.0,0.4,3.6,3.6,1127.0
2078,SKU-002078,RefreshCo Oat Milk Drink Natural,RefreshCo,Natural,Beverages,Netherlands,0.56,0.34,Yes,3.6,1902,Yes,67.5,3.1,1.6,0.9,5.8,3.1,143.0
2079,SKU-002079,HappyPaws Dog Toy High Protein,HappyPaws,High Protein,Pet Supplies,France,2.6,31.63,Yes,4.4,4448,No,,,,,,,
2080,SKU-002080,NaturBeauty Toothpaste Gluten Free,NaturBeauty,Gluten Free,Personal Care & Beauty,Greece,0.41,33.62,Yes,3.4,4236,No,,,,,,,
2081,SKU-002081,PureBaby Diapers (M) Original,PureBaby,Original,Baby & Toddler,Japan,2.28,27.55,Yes,3.0,4684,No,,,,,,,
2082,SKU-002082,ElectroBase AAA Batteries Gluten Free,ElectroBase,Gluten Free,Electronics & Batteries,Australia,0.28,17.64,Yes,2.6,3027,No,,,,,,,
2083,SKU-002083,NaturePet Dog Treats Mini,NaturePet,Mini,Pet Supplies,Spain,2.47,47.56,Yes,3.4,1132,No,,,,,,,
2084,SKU-002084,LittleOnes Baby Puree (Apple) Mini,LittleOnes,Mini,Baby & Toddler,Canada,1.25,10.18,Yes,4.9,3777,No,,,,,,,
2085,SKU-002085,FreshFarm Cauliflower Gluten Free,FreshFarm,Gluten Free,Fruits & Vegetables,Brazil,1.79,5.53,Yes,2.8,1093,Yes,66.5,2.9,13.8,1.0,9.5,6.7,916.0
2086,SKU-002086,HomeCook Curry Powder Low Fat,HomeCook,Low Fat,Pantry & Dry Goods,Italy,4.28,101.19,Yes,3.2,3351,Yes,22.2,12.0,21.7,51.8,4.8,4.8,197.0
2087,SKU-002087,ChargePro Surge Protector Deluxe,ChargePro,Deluxe,Electronics & Batteries,India,1.12,55.12,Yes,3.4,3719,No,,,,,,,
2088,SKU-002088,ClearSpring Sports Drink Original,ClearSpring,Original,Beverages,Germany,0.54,0.85,Yes,2.8,4091,Yes,4.4,4.9,11.6,0.4,0.1,0.0,453.0
2089,SKU-002089,PureTouch Dental Floss Mini,PureTouch,Mini,Personal Care & Beauty,Spain,0.29,1.18,Yes,4.7,149,No,,,,,,,
2090,SKU-002090,IceCraft Ice Cream (Chocolate) Economy,IceCraft,Economy,Frozen Foods,Spain,0.3,1.81,Yes,4.4,4016,Yes,302.7,2.8,11.9,11.2,47.0,5.7,1090.0
2091,SKU-002091,EcoClean Washing-Up Liquid Low Fat,EcoClean,Low Fat,Household & Cleaning,Japan,0.9,7.44,Yes,3.3,2178,No,,,,,,,
2092,SKU-002092,NaturePick Kiwi Gluten Free,NaturePick,Gluten Free,Fruits & Vegetables,Brazil,4.92,27.25,Yes,3.5,1431,Yes,36.0,1.3,9.3,0.2,5.8,2.8,649.0
2093,SKU-002093,NaturalPantry Turmeric Value Pack,NaturalPantry,Value Pack,Pantry & Dry Goods,Thailand,3.67,84.15,Yes,4.1,2842,Yes,92.3,5.8,26.8,44.7,3.5,2.8,894.0
2094,SKU-002094,ClearSpring Lemonade Multipack,ClearSpring,Multipack,Beverages,Japan,0.44,2.92,Yes,3.0,1893,Yes,29.0,3.4,0.6,1.3,0.7,0.3,955.0
2095,SKU-002095,FreshHome Air Freshener Extra Large,FreshHome,Extra Large,Household & Cleaning,South Africa,1.35,18.31,Yes,4.0,3193,No,,,,,,,
